FIELD,TP,TN,FP,FN,P,R,F1,A
product,73,0,37,57,0.6636363636363637,0.5615384615384615,0.6083333333333333,0.437125748502994
quantity,3,0,116,119,0.025210084033613446,0.02459016393442623,0.024896265560165977,0.012605042016806723
total_amount,9,0,24,39,0.2727272727272727,0.1875,0.2222222222222222,0.125
price,89,0,18,36,0.8317757009345794,0.712,0.7672413793103448,0.6223776223776224
supplier_name,12,0,17,33,0.41379310344827586,0.26666666666666666,0.32432432432432434,0.1935483870967742
invoice_number,23,0,8,21,0.7419354838709677,0.5227272727272727,0.6133333333333333,0.4423076923076923
email,15,0,13,16,0.5357142857142857,0.4838709677419355,0.5084745762711865,0.3409090909090909
invoice_date,3,0,38,41,0.07317073170731707,0.06818181818181818,0.07058823529411763,0.036585365853658534
