COMPONENT_NAME,FE_ON_START_AVERAGE,FE_ON_START_MIN,FE_ON_START_MAX,FE_EXTRACT_AVERAGE,FE_EXTRACT_MIN,FE_EXTRACT_MAX,TOTAL_AVERAGE,TOTAL_MIN,TOTAL_MAX
com.workfusion.vds.sdk.nlp.component.fe.PreviousElementSameLineKeywordsMatchFE,1.83,0.00,121.83,0.52,0.02,39.23,2.35,0.03,122.56
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellTokenXx2N3FE,0.43,0.00,34.61,0.96,0.08,72.94,1.39,0.11,73.40
com.workfusion.nlp.uima.fe.cell.rowFEs.CellRowEmptyColumnCountFE,0.01,0.00,0.06,2.82,0.29,39.59,2.83,0.29,39.61
com.workfusion.nlp.uima.fe.cell.cellFEs.LineCountInCellFE,0.59,0.01,43.53,0.80,0.12,93.59,1.39,0.19,94.12
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellTokenXxNFE,0.48,0.06,20.54,0.94,0.12,67.05,1.42,0.21,67.28
com.workfusion.nlp.uima.fe.ner.IsTheOnlyNerInFocusElementFE,0.58,0.02,52.33,0.13,0.01,29.24,0.71,0.06,52.45
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellTokenX1x2N3FE,0.43,0.00,65.64,0.95,0.07,151.25,1.38,0.10,151.48
com.workfusion.nlp.uima.fe.token.StringValueInNerTypeFE,0.06,0.01,11.85,1.02,0.14,58.87,1.08,0.17,58.91
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellLastTokenFE,0.50,0.05,68.46,0.68,0.08,77.97,1.19,0.18,78.32
mle.cert.assignment.fe.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractror,0.39,0.08,30.36,2.03,0.18,70.26,2.41,0.26,70.65
com.workfusion.nlp.uima.fe.cell.typeFEs.CellContainsNerFE,0.25,0.05,14.28,0.13,0.02,21.36,0.38,0.09,21.57
com.workfusion.nlp.uima.fe.cell.columnFEs.NerCountPercentageInColumnFE,0.00,0.00,3.99,4.09,0.47,159.38,4.09,0.48,159.38
com.workfusion.nlp.uima.fe.cell.tokenFEs.FocusElementRepeatedInSearchElementFE,0.31,0.04,45.27,0.15,0.02,28.98,0.46,0.06,45.33
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellFirstTokenNoCaseFE,0.82,0.01,72.64,0.20,0.02,40.08,1.01,0.06,72.79
com.workfusion.nlp.uima.fe.cell.lineFEs.LineSizeFE,0.90,0.01,97.98,0.80,0.14,14.02,1.70,0.32,98.46
com.workfusion.nlp.uima.fe.token.CharPatternX1x1NFE,0.01,0.00,7.23,0.92,0.08,140.18,0.93,0.09,140.19
com.workfusion.nlp.uima.fe.token.IsCapitalCharOrNumberOrHyphenOnlyFE,0.00,0.00,0.02,0.90,0.24,7.97,0.91,0.24,7.98
com.workfusion.nlp.uima.fe.cell.rowFEs.CellColNumLessThanLowerRowFE,0.01,0.00,0.16,1.65,0.27,181.18,1.66,0.28,181.19
com.workfusion.nlp.uima.fe.token.IsEndOfNamedEntityFE,0.01,0.00,15.62,1.10,0.11,123.67,1.11,0.12,123.68
com.workfusion.nlp.uima.fe.token.CharPatternX1x2N3FE,0.02,0.00,16.85,1.03,0.09,151.91,1.05,0.10,151.92
com.workfusion.nlp.uima.fe.cell.tokenFEs.AnnotationValueRepeatedInPageFE,0.23,0.01,147.85,1.32,0.24,94.99,1.54,0.28,150.18
com.workfusion.nlp.uima.fe.token.NumberOfCharsFE,0.00,0.00,0.28,0.96,0.10,90.80,0.97,0.10,90.81
com.workfusion.nlp.uima.fe.cell.charFEs.AreFirstNCharNumbersFE,0.02,0.01,0.05,3.15,0.95,66.40,3.16,0.97,66.42
com.workfusion.nlp.uima.fe.cell.rowFEs.CellRowNumFE,0.01,0.00,0.03,3.18,0.82,51.87,3.20,0.83,51.89
com.workfusion.nlp.uima.fe.cell.tokenFEs.ElementValueRepeatedInDocumentFE,0.40,0.04,70.45,0.31,0.03,223.57,0.71,0.07,223.96
com.workfusion.nlp.uima.fe.token.FirstNCharsFE,0.02,0.00,36.04,2.03,0.20,121.16,2.06,0.20,121.17
com.workfusion.nlp.uima.fe.cell.charFEs.CharSeparatorPatternFE,0.01,0.00,31.71,0.63,0.07,78.55,0.64,0.08,78.57
mle.cert.assignment.fe.ColumnIndexFE,0.00,0.00,1.22,82.88,3.00,984.91,82.88,3.00,984.92
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellAnyAnnotationRepeatedInColumnFE,0.57,0.05,71.52,0.91,0.08,124.71,1.48,0.16,125.65
com.workfusion.nlp.uima.fe.token.CharPatternXx2N3FE,0.00,0.00,10.10,0.80,0.08,97.83,0.80,0.08,97.83
com.workfusion.nlp.uima.fe.token.CharPatternX1xN3FE,0.01,0.00,9.98,0.78,0.08,91.03,0.78,0.08,91.04
mle.cert.assignment.fe.KeywordsPreviousLineFE,0.00,0.00,0.01,49.51,2.65,244.91,49.51,2.65,244.91
com.workfusion.nlp.uima.fe.cell.tokenFEs.IsLargestPriceInTableFE,0.02,0.00,3.29,2.61,0.21,153.19,2.63,0.23,153.20
com.workfusion.nlp.uima.fe.cell.columnFEs.CellNumberEqualsSumOfUpTwoCellsFE,1.30,0.02,99.38,0.62,0.08,34.13,1.92,0.22,100.08
com.workfusion.nlp.uima.fe.cell.columnFEs.CellColumnNumToLastPortionFE,1.38,0.05,120.63,0.72,0.12,36.37,2.10,0.22,121.12
com.workfusion.nlp.uima.fe.cell.columnFEs.CellColumnNumToFirstPortionFE,1.26,0.01,72.09,0.76,0.11,59.30,2.02,0.18,72.45
com.workfusion.nlp.uima.fe.token.CharacterPatternFE,0.01,0.00,0.36,2.52,0.32,174.70,2.53,0.32,174.93
com.workfusion.nlp.uima.fe.cell.tokenFEs.KeywordsInAnnotationYesNoFE,0.05,0.00,73.66,16.44,0.45,355.76,16.49,0.45,355.82
com.workfusion.nlp.uima.fe.cell.charFEs.FollowingNnonEmptyCharsFE,0.02,0.01,22.13,2.23,0.24,92.18,2.25,0.25,92.23
com.workfusion.nlp.uima.fe.token.AdvancedLowerCaseFE,2.56,0.13,141.83,41.96,1.34,510.15,44.53,1.48,518.39
mle.cert.assignment.fe.RowIndexFE,0.00,0.00,0.01,1.41,0.15,35.77,1.42,0.15,35.78
com.workfusion.nlp.uima.fe.cell.columnFEs.CellColumnKeywordFE,0.01,0.00,1.75,11.24,0.50,196.27,11.24,0.51,196.28
com.workfusion.nlp.uima.fe.cell.lineFEs.LineNumberInCellFE,0.46,0.01,33.05,0.86,0.12,80.75,1.32,0.16,81.31
com.workfusion.nlp.uima.fe.NumberSpecialTokenLowerCaseFE,0.00,0.00,0.01,1.67,0.50,14.98,1.67,0.50,14.99
com.workfusion.nlp.uima.fe.cell.tokenFEs.IsLargestPriceInDocumentFE,0.00,0.00,0.24,2.54,0.22,74.47,2.54,0.22,74.47
com.workfusion.nlp.uima.fe.cell.columnFEs.CellEmptyCellsCountInColumnFE,0.64,0.01,20.05,0.73,0.14,68.46,1.37,0.19,69.32
com.workfusion.nlp.uima.fe.token.IsCapitalCharOrNumberOrHyphenOrStarOnlyFE,0.00,0.00,0.02,0.74,0.22,6.67,0.74,0.22,6.68
