fe_id,fname,score
c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@04a17c7bf8abd466181dfcd432c4be57,0,1.0
c.w.n.u.f.c.t.ElementValueRepeatedInDocumentFE@079f3561f549d77cb25b125bce929921,0,1.0
c.w.n.uima.fe.cell.tokenFEs.CellTokenX1x1NFE@2c9b730d95cd0540b056eb4898a3b661,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@f26028066669608d51ff6977362daef4,0,1.0
c.w.n.u.f.c.t.CellAnyAnnotationRepeatedInColumnFE@0432c7bfba2b17dc0cd6e43f35add33d,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@ab37014246ce1cb4fecb1b5d0b16d8e5,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@374b7d7cfa383557fc6ed968606bd123,0,1.0
c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@d3b135d624fb095bb9de11f12950df69,0,0.9534883720930233
c.w.n.u.f.c.columnFEs.CellColumnNumToLastPortionFE@73c83d5e08156b8cef5a21380a5ecf91,0,0.9285714285714286
c.w.n.u.f.c.c.CellColumnNumToFirstPortionFE@bbbbc38275caa7dfcd17cf44c583bbcb,0,0.9285714285714286
c.w.n.u.f.c.b.PreviousBlockSameLineCoveredTokensFE@d5e1e89e63ffe57e2b4b194c98e88ca3,0,0.9230769230769231
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@f210033c7bef00159d8f3f7a318cf4bf,0,0.84
c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@73d8d392c4b26055414f8b1f0d0f7142,0,0.7894736842105263
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@edb497aca9e0312b4c6403ffc6bf79b0,0,0.7894736842105263
c.w.nlp.uima.fe.token.LastNCharsFE@9374f5c8fca5e1207ef5f3692b4f9cf1,0,0.77
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@f90b547f60153cd0b5d8168cb1e29533,0,0.7524752475247525
c.w.n.uima.fe.cell.cellFEs.LineCountInCellFE@55e0c75e38d8e6c72547c0d82ca792da,0,0.7471264367816092
c.w.n.u.fe.cell.tableFEs.MaxCellSizeInTableFE@9ebbf320c9bf07db203273800afa6bab,0,0.7454545454545455
c.w.n.u.f.cell.columnFEs.CellColumnNumToLastFE@f37c1187ed3be0f3d59a21587b8f2b51,0,0.7142857142857143
c.w.n.u.f.c.tableFEs.RepeatedCellRatioInTableFE@9c809addbe3446cffd504b22bee02659,0,0.6301369863013698
c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@0a6183922b75ff76379117d034d1a349,0,0.47560975609756095
c.w.n.u.fe.cell.lineFEs.LineNumberInCellFE@70cadf1147133fe645e72d3597d4231d,0,0.4672131147540984
c.w.n.uima.fe.cell.columnFEs.ColumnNumberFE@0dbb80019c9fae246cac5f0bcbe690b8,0,0.4420045045045045
c.w.nlp.uima.fe.cell.rowFEs.CellRowNumFE@0f5920b557709d662db2da3ba907a785,0,0.42857142857142855
c.w.nlp.uima.fe.token.FirstNCharsFE@a3a3226371cd9d0a37feb1445a5861c7,0,0.42727272727272725
c.w.nlp.uima.fe.token.CharPatternX1x1NFE@63cb70a5a2e7423b549288d59360c1de,0,0.4233576642335766
c.w.nlp.uima.fe.token.CharPatternX1x2N3FE@b7044598d627055bb427a708781681f5,0,0.4233576642335766
c.w.nlp.uima.fe.token.WordShapeFE@1eed3a93a19e651d140338deb3856c45,0,0.4233576642335766
c.w.nlp.uima.fe.token.CharPatternXx2N3FE@672b5803fe472ca8ad8cb92c597cf558,0,0.4233576642335766
c.w.n.u.f.c.typeFEs.CellTypeCapitalizationOnlyFE@858829891432aae1b55850869cd31d2f,0,0.40816326530612246
c.w.n.u.fe.cell.rowFEs.CellTotalColumnsInRowFE@286a4b169080a223c3d8cf51c6663b14,0,0.3972602739726027
c.w.n.u.f.c.tableFEs.CellTotalColumnsInTableFE@7d601563a9e3d7724d4772957e230b9e,0,0.3972602739726027
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@275ef5e7614ba9e71bd1cfa53bb874a6,0,0.3873239436619718
c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@5ede481dba9a8c3d82079ee60965721d,0,0.38461538461538464
c.w.nlp.uima.fe.token.CharacterPatternFE@3a82d773c5c09099797c61b3e6ff1a94,0,0.3333333333333333
c.w.nlp.uima.fe.token.CharPatternXxNFE@ab888239d3ca36987ae8b1ac39a11ad9,0,0.3333333333333333
c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@0d36ab26f4e5c919a4afe8dbb720d538,0,0.3276053215077605
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@c853a99a13658a2a1566bd28bd72be47,0,0.31601731601731603
c.w.nlp.uima.fe.token.CharPatternX1xN3FE@542fc2e69fec6c79120131d518b92070,0,0.29411764705882354
c.w.n.u.f.c.c.CellEmptyCellsCountInColumnFE@fb1e5e048c905d383416ebfe1e04a721,0,0.2879640044994376
c.w.n.u.f.c.t.CellTypeFirstTokenCapitalizedFE@4ae3da94328017801e81555c4517a2bd,0,0.26830454877158844
c.w.n.u.f.cell.rowFEs.CellRowEmptyColumnCountFE@6890dd9d8e885bb5d5211ec548d0362c,0,0.242914979757085
c.w.v.s.nlp.component.fe.PositionInCoveringFE@487e6a77c3ab8865224405924183e413,0,0.23098591549295774
c.w.n.u.f.c.cellFEs.NumberOfRepeatedCellsInTableFE@4acaeb3b2dace1aa052345e6d2025070,0,0.2272907576358588
c.w.n.u.f.c.columnFEs.AreAllCellsSameInColumnFE@d677b532d978b1b907ac3447e12ef417,0,0.19397269397269398
c.w.v.nlp.uima.fe.cell.row.CellIsLastRowFE@0a1555bdde7ee8b935ddd22926a3b71a,0,0.19335647000495787
c.w.v.s.nlp.component.fe.PositionInCoveringFE@a1e555780cb50cbe94f9539efbe49c7e,0,0.19335647000495787
c.w.v.s.nlp.component.fe.PositionInCoveringFE@80de5db35daf0df0673fc058b3684345,0,0.19335647000495787
c.w.v.s.nlp.component.fe.PositionInCoveringFE@4cb9d636b84c8149e8dabf59532ef288,0,0.19335647000495787
c.w.v.s.nlp.component.fe.PositionInCoveringFE@cb9412922d688d05d4dc22f5c1910ad4,0,0.19335647000495787
c.w.n.uima.fe.cell.rowFEs.CellRowNumToLastFE@0258e86a210ed22afcc0637eff780b38,0,0.19335647000495787
mle.cert.assignment.fe.RowIndexFE@13d047b042e4464d4a17f8af88aaa24c,0,0.19335647000495787
c.w.n.u.f.t.IsLastCapitalizedTokenInCoveringFE@3b2b61c2bf6f57e516be4c3f95fd9e9c,0,0.187727175539876
c.w.n.u.f.c.charFEs.AreFirstNCharCapitalizedFE@126c17172f12d78ef42e717e727cdd15,0,0.187727175539876
c.w.n.u.f.t.IsLastCapitalizedTokenInCoveringFE@98107431002c256c4b0c82011339907b,0,0.187727175539876
c.w.n.u.f.t.IsFirstCapitalizedTokenInCoveringFE@6e477c87a2656712ce635b9b553f56d3,0,0.187727175539876
